name, state, district, office_time, website, contact, party,id
 Representative Ralph Lee Abraham,Louisiana,5,House: 114th-116th (2015-Present),https://abraham.house.gov/,"417 Cannon House Office Building, (202) 225-8490",Republican,1
 Representative Alma S. Adams,North Carolina,12,House: 113th-116th (2014-Present),https://adams.house.gov,"2436 Rayburn House Office Building, (202) 225-1510",Democratic,2
 Representative Robert B. Aderholt,Alabama,4,House: 105th-116th (1997-Present),https://aderholt.house.gov/,"1203 Longworth House Office Building, (202) 225-4876",Republican,3
 Representative Pete Aguilar,California,31,House: 114th-116th (2015-Present),https://aguilar.house.gov/,"109 Cannon House Office Building, (202) 225-3201",Democratic,4
 Senator Lamar Alexander,Tennessee,None,Senate: 108th-116th (2003-Present),http://www.alexander.senate.gov/,"455 Dirksen Senate Office Building Washington DC 20510, (202) 224-4944",Republican,5
 Representative Rick W. Allen,Georgia,12,House: 114th-116th (2015-Present),https://allen.house.gov,"2400 Rayburn House Office Building, (202) 225-2823",Republican,6
 Representative Colin Z. Allred,Texas,32,House: 116th (2019-Present),https://allred.house.gov/,"328 Cannon House Office Building, (202) 225-2231",Democratic,7
 Representative Justin Amash,Michigan,3,House: 112th-116th (2011-Present),https://amash.house.gov/,"106 Cannon House Office Building, (202) 225-3831",Republican,8
 Representative Mark E. Amodei,Nevada,2,House: 112th-116th (2011-Present),https://amodei.house.gov,"104 Cannon House Office Building, (202) 225-6155",Republican,9
 Representative Kelly Armstrong,North Dakota,At Large,House: 116th (2019-Present),https://armstrong.house.gov,"1004 Longworth House Office Building, (202) 225-2611",Republican,10
 Representative Jodey C. Arrington,Texas,19,House: 115th-116th (2017-Present),https://arrington.house.gov,"1029 Longworth House Office Building, (202) 225-4005",Republican,11
 Representative Cynthia Axne,Iowa,3,House: 116th (2019-Present),https://axne.house.gov/,"330 Cannon House Office Building, (202) 225-5476",Democratic,12
 Representative Brian Babin,Texas,36,House: 114th-116th (2015-Present),https://babin.house.gov,"2236 Rayburn House Office Building, (202) 225-1555",Republican,13
 Representative Don Bacon,Nebraska,2,House: 115th-116th (2017-Present),https://bacon.house.gov,"1024 Longworth House Office Building, (202) 225-4155",Republican,14
 Representative James R. Baird,Indiana,4,House: 116th (2019-Present),https://baird.house.gov/,"532 Cannon House Office Building, (202) 225-5037",Republican,15
