state, total_itemized_contributions, total_contributions_rank, top_industry, second_industry, third_industry, fourth_industry, fifth_industry
Alabama,"$24,512,777",28,Retired,Real Estate,Lawyers/Law Firms,Leadership PACs,Homemakers/Non-income earners
Alaska,"$4,882,616",49,Retired,Securities & Investment,Lawyers/Law Firms,Homemakers/Non-income earners,Civil Servants/Public Officials
Arizona,"$51,369,445",21,Retired,Real Estate,Democratic/Liberal,Homemakers/Non-income earners,Electric Utilities
Arkansas,"$26,064,012",26,Poultry & Eggs,Securities & Investment,Retail Sales,Retired,Pharmaceuticals/Health Products
California,"$628,270,777",1,Environment,Retired,Securities & Investment,Real Estate,TV/Movies/Music
Colorado,"$53,132,605",19,Retired,Securities & Investment,Real Estate,Non-Profit Institutions,Lawyers/Law Firms
Connecticut,"$53,821,131",17,Securities & Investment,Retired,Homemakers/Non-income earners,Lawyers/Law Firms,Education
Delaware,"$5,910,219",47,Retired,Pharmaceuticals/Health Products,Lawyers/Law Firms,Leadership PACs,Homemakers/Non-income earners
Florida,"$216,102,136",4,Securities & Investment,Retired,Real Estate,Lawyers/Law Firms,Misc Finance
Georgia,"$61,545,957",15,Non-Profit Institutions,Retired,Air Transport,Leadership PACs,Lawyers/Law Firms
Hawaii,"$6,888,990",46,Retired,Lawyers/Law Firms,Homemakers/Non-income earners,Securities & Investment,Real Estate
Idaho,"$8,265,741",44,Misc Manufacturing & Distributing,Retired,Real Estate,Crop Production & Basic Processing,Homemakers/Non-income earners
Illinois,"$210,519,569",5,Securities & Investment,Misc Manufacturing & Distributing,Real Estate,Printing & Publishing,Retired
Indiana,"$53,598,715",18,Non-Profit Institutions,Retired,Misc Manufacturing & Distributing,Lawyers/Law Firms,Real Estate
Iowa,"$13,948,614",37,Retired,Education,Leadership PACs,Insurance,Real Estate
Kansas,"$28,759,732",25,Oil & Gas,Retired,Health Professionals,Lawyers/Law Firms,Homemakers/Non-income earners
Kentucky,"$18,664,368",32,Retired,Health Professionals,Lawyers/Law Firms,Real Estate,Homemakers/Non-income earners
Louisiana,"$25,933,746",27,Lawyers/Law Firms,Retired,Sea Transport,Oil & Gas,General Contractors
Maine,"$12,278,530",40,Retired,Securities & Investment,Homemakers/Non-income earners,Lawyers/Law Firms,Democratic/Liberal
Maryland,"$80,621,813",12,Retired,Lawyers/Law Firms,Lobbyists,Building Trade Unions,Real Estate
Massachusetts,"$138,956,623",8,Securities & Investment,Retired,Real Estate,Education,Electronics Mfg & Equip
Michigan,"$76,462,660",14,Retired,Real Estate,Retail Sales,Automotive,Education
Minnesota,"$51,136,165",22,Retired,Crop Production & Basic Processing,Lawyers/Law Firms,Homemakers/Non-income earners,Real Estate
Mississippi,"$12,631,920",39,Retired,Lawyers/Law Firms,Oil & Gas,Leadership PACs,Health Professionals
