name,state,district,office time,website,contact,party
 Representative Ralph Lee Abraham,Louisiana,5,House: 114th-116th (2015-Present),https://abraham.house.gov/,417 Cannon House Office Building(202) 225-8490,Republican
 Representative Alma S. Adams,North Carolina,12,House: 113th-116th (2014-Present),https://adams.house.gov,2436 Rayburn House Office Building(202) 225-1510,Democratic
 Representative Robert B. Aderholt,Alabama,4,House: 105th-116th (1997-Present),https://aderholt.house.gov/,1203 Longworth House Office Building(202) 225-4876,Republican
 Representative Pete Aguilar,California,31,House: 114th-116th (2015-Present),https://aguilar.house.gov/,109 Cannon House Office Building(202) 225-3201,Democratic
 Senator Lamar Alexander,Tennessee,,Senate: 108th-116th (2003-Present),http://www.alexander.senate.gov/,455 Dirksen Senate Office Building Washington DC 20510(202) 224-4944,Republican
 Representative Rick W. Allen,Georgia,12,House: 114th-116th (2015-Present),https://allen.house.gov,2400 Rayburn House Office Building(202) 225-2823,Republican
 Representative Colin Z. Allred,Texas,32,House: 116th (2019-Present),https://allred.house.gov/,328 Cannon House Office Building(202) 225-2231,Democratic
 Representative Justin Amash,Michigan,3,House: 112th-116th (2011-Present),https://amash.house.gov/,106 Cannon House Office Building(202) 225-3831,Republican
 Representative Mark E. Amodei,Nevada,2,House: 112th-116th (2011-Present),https://amodei.house.gov,104 Cannon House Office Building(202) 225-6155,Republican
 Representative Kelly Armstrong,North Dakota,At Large,House: 116th (2019-Present),https://armstrong.house.gov,1004 Longworth House Office Building(202) 225-2611,Republican
 Representative Jodey C. Arrington,Texas,19,House: 115th-116th (2017-Present),https://arrington.house.gov,1029 Longworth House Office Building(202) 225-4005,Republican
 Representative Cynthia Axne,Iowa,3,House: 116th (2019-Present),https://axne.house.gov/,330 Cannon House Office Building(202) 225-5476,Democratic
 Representative Brian Babin,Texas,36,House: 114th-116th (2015-Present),https://babin.house.gov,2236 Rayburn House Office Building(202) 225-1555,Republican
 Representative Don Bacon,Nebraska,2,House: 115th-116th (2017-Present),https://bacon.house.gov,1024 Longworth House Office Building(202) 225-4155,Republican
 Representative James R. Baird,Indiana,4,House: 116th (2019-Present),https://baird.house.gov/,532 Cannon House Office Building(202) 225-5037,Republican
 Representative Troy Balderson,Ohio,12,House: 115th-116th (2018-Present),https://balderson.house.gov,1221 Longworth House Office Building(202) 225-5355,Republican
 Senator Tammy Baldwin,Wisconsin,--,Senate: 113th-116th (2013-Present),http://www.baldwin.senate.gov/,709 Hart Senate Office Building Washington DC 20510(202) 224-5653,Democratic
 Representative Jim Banks,Indiana,3,House: 115th-116th (2017-Present),https://banks.house.gov,1713 Longworth House Office Building(202) 225-4436,Republican
 Representative Andy Barr,Kentucky,6,House: 113th-116th (2013-Present),https://barr.house.gov/,2430 Rayburn House Office Building(202) 225-4706,Republican
 Representative Nanette Diaz Barragan,California,44,House: 115th-116th (2017-Present),https://barragan.house.gov,1030 Longworth House Office Building(202) 225-8220,Democratic
 Senator John  Barrasso,Wyoming,,Senate: 110th-116th (2007-Present),http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510(202) 224-6441,Republican
 Representative Karen Bass,California,37,House: 113th-116th (2013-Present),https://bass.house.gov/,2059 Rayburn House Office Building(202) 225-7084,Democratic
 Representative Joyce Beatty,Ohio,3,House: 113th-116th (2013-Present),https://beatty.house.gov,2303 Rayburn House Office Building(202) 225-4324,Democratic
 Senator Michael F. Bennet,Colorado,,Senate: 111th-116th (2009-Present),http://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510(202) 224-5852,Democratic
 Representative Ami Bera,California,7,House: 113th-116th (2013-Present),https://bera.house.gov,1727 Longworth House Office Building(202) 225-5716,Democratic
 Representative Jack Bergman,Michigan,1,House: 115th-116th (2017-Present),https://bergman.house.gov,414 Cannon House Office Building(202) 225-4735,Republican
" Representative Donald S. Beyer, Jr.",Virginia,8,House: 114th-116th (2015-Present),https://beyer.house.gov,1119 Longworth House Office Building(202) 225-4376,Democratic
 Representative Andy Biggs,Arizona,5,House: 115th-116th (2017-Present),https://biggs.house.gov,1318 Longworth House Office Building(202) 225-2635,Republican
 Representative Gus M. Bilirakis,Florida,12,House: 113th-116th (2013-Present),https://bilirakis.house.gov/,2227 Rayburn House Office Building(202) 225-5755,Republican
